session_id,from_display,from_normalized,to_display,to_normalized,original_amount,remaining_amount,status
4-21-26-1130PM,heech,heech,Rayan,rayan,68.20,0.00,paid
4-21-26-1130PM,heech,heech,tomas!,tomas,111.80,0.00,paid
4-21-26-1130PM,Yaden ):,yaden,Cam,cam,9.65,0.00,paid
4-21-26-1130PM,Yaden ):,yaden,Rayan,rayan,12.25,0.00,paid
4-22-26-6PM,Eric,eric,RT,rt,20.00,0.00,paid
4-22-26-6PM,heech,heech,Kobe,kobe,40.76,0.00,paid
4-22-26-6PM,heech,heech,neel,neel,19.24,0.00,paid
4-22-26-6PM,Jason,jason,cam,cam,23.15,0.00,paid
4-22-26-6PM,Jason,jason,Kobe,kobe,30.35,0.00,paid
4-22-26-6PM,Rayan,rayan,cam,cam,31.83,0.00,paid
4-22-26-6PM,Rayan,rayan,RT,rt,8.17,0.00,paid
4-22-26-6PM,thomas,thomas,neel,neel,60.91,0.00,paid
4-22-26-6PM,Yaden,yaden,RT,rt,13.26,0.00,paid
4-23-26-6PM,Gabe,gabe,Hee,hee,39.12,0.00,paid
4-23-26-6PM,Kobe,kobe,cam,cam,9.19,0.00,paid
4-23-26-6PM,Kobe,kobe,Hee,hee,27.25,0.00,paid
4-23-26-6PM,Rayan,rayan,Neel,neel,60.92,0.00,paid
4-23-26-6PM,Rowan,rowan,Hee,hee,1.59,0.00,paid
4-23-26-6PM,Rowan,rowan,Neel,neel,48.41,0.00,paid
4-23-26-6PM,Yaden,yaden,cam,cam,1.65,0.00,paid
4-23-26-6PM,Yaden,yaden,thomas,thomas,4.15,0.00,paid
4-26-26-11PM,Jason,jason,cam,cam,0.80,0.00,paid
4-26-26-11PM,Jason,jason,Neel,neel,3.73,0.00,paid
4-26-26-11PM,Jason,jason,thomas,thomas,1.22,0.00,paid
4-26-26-11PM,Kenn,kenn,Yaden,yaden,30.00,30.00,open
4-26-26-11PM,Rayan,rayan,Neel,neel,22.65,0.00,paid
4-26-26-11PM,Rayan,rayan,Yaden,yaden,2.35,0.00,paid
